zone,crop_type,growing_stage,stage_day_of_year,temperature,humidity,precipitation,yield_value,disease_probability
northeast,millet,heading_flowering,222,11.1,69.5,8.4,15.1,0.29
northeast,millet,heading_flowering,205,8.8,70.5,14.0,15.7,0.14
northeast,millet,heading_flowering,216,11.7,70.3,3.9,14.7,0.35
northeast,millet,heading_flowering,227,13.8,76.8,16.7,14.5,0.25
northeast,millet,heading_flowering,208,13.1,59.5,10.5,14.5,0.37
northeast,millet,ripening_maturity,222,15.9,70.0,11.2,20.0,0.14
northeast,millet,ripening_maturity,252,21.4,82.8,18.1,13.4,0.66
northeast,millet,ripening_maturity,237,19.1,68.2,9.7,16.5,0.48
northeast,millet,ripening_maturity,262,19.6,55.3,7.1,19.4,0.3
northeast,millet,ripening_maturity,229,11.7,65.1,8.3,18.6,0.29
northeast,millet,ripening_maturity,231,14.5,80.4,6.1,16.8,0.37
northeast,millet,ripening_maturity,224,13.1,72.5,11.4,16.5,0.19
northeast,millet,ripening_maturity,227,13.5,72.2,2.0,12.4,0.16
northeast,sorghum,sowing,90,-7.0,50.8,1.3,10.5,0.2
northeast,sorghum,sowing,113,-3.9,71.5,5.1,10.6,0.16
northeast,sorghum,sowing,104,-4.7,68.3,7.9,12.9,0.1
northeast,sorghum,sowing,94,-6.5,62.8,8.6,8.5,0.08
northeast,sorghum,sowing,95,-6.3,75.2,5.7,8.9,0.22
northeast,sorghum,sowing,102,-5.4,67.7,6.8,11.4,0.19
northeast,sorghum,emergence,114,-2.7,66.9,3.4,13.4,0.12
northeast,sorghum,emergence,118,-2.1,75.4,7.3,10.1,0.09
northeast,sorghum,emergence,112,-3.4,55.8,8.7,9.3,0.17
northeast,sorghum,emergence,111,-4.2,68.5,9.5,10.5,0.17
northeast,sorghum,emergence,126,-1.4,47.9,11.4,9.7,0.19
northeast,sorghum,emergence,132,-1.1,54.3,6.2,14.0,0.11
northeast,sorghum,emergence,140,2.0,76.9,3.0,11.7,0.19
northeast,sorghum,emergence,128,-1.5,51.7,8.3,11.9,0.19
northeast,sorghum,tillering,133,-0.3,59.4,12.1,12.0,0.12
northeast,sorghum,tillering,152,3.9,62.0,3.7,17.8,0.1
northeast,sorghum,tillering,144,0.7,66.3,3.1,14.4,0.18
northeast,sorghum,tillering,161,4.9,57.8,2.8,14.1,0.09
northeast,sorghum,tillering,154,3.2,63.8,1.7,14.9,0.14
northeast,sorghum,tillering,166,3.4,54.0,13.0,15.8,0.13
northeast,sorghum,tillering,170,5.1,56.1,3.3,12.4,0.08
northeast,sorghum,tillering,158,2.1,62.2,12.1,15.0,0.2
northeast,sorghum,heading_flowering,228,12.1,78.9,5.0,15.4,0.41
northeast,sorghum,heading_flowering,207,10.8,70.1,7.1,18.0,0.24
northeast,sorghum,heading_flowering,206,8.9,64.6,15.2,21.7,0.11
northeast,sorghum,heading_flowering,238,14.4,54.8,5.0,22.2,0.34
northeast,sorghum,heading_flowering,203,9.9,60.4,12.7,19.4,0.12
northeast,sorghum,heading_flowering,239,13.8,77.5,4.4,19.4,0.27
northeast,sorghum,heading_flowering,231,12.4,52.9,15.9,16.1,0.4
northeast,sorghum,ripening_maturity,244,19.8,55.4,7.7,23.2,0.22
northeast,sorghum,ripening_maturity,227,14.7,76.1,2.6,22.6,0.44
northeast,sorghum,ripening_maturity,251,20.4,69.1,4.2,25.8,0.32
northeast,sorghum,ripening_maturity,280,18.9,65.3,19.6,24.6,0.41
northeast,sorghum,ripening_maturity,232,18.5,56.6,1.2,17.2,0.19
northeast,sorghum,ripening_maturity,263,16.9,71.5,17.8,21.0,0.4
northeast,sorghum,ripening_maturity,277,18.2,73.2,19.5,20.0,0.56
northeast,sorghum,ripening_maturity,249,14.5,64.2,10.0,25.3,0.29
northeast,peas,sowing,93,-6.5,64.1,4.4,8.0,0.15
northeast,peas,sowing,103,-4.8,54.0,5.0,8.5,0.17
northeast,peas,sowing,119,-2.4,51.4,11.1,11.1,0.34
northeast,peas,sowing,94,-6.4,45.8,7.1,9.0,0.28
northeast,peas,sowing,116,-3.0,61.9,0.4,10.3,0.3
northeast,peas,sowing,108,-3.8,54.0,10.8,9.0,0.17
northeast,peas,sowing,97,-6.0,64.2,8.7,9.3,0.19
northeast,peas,emergence,122,-2.7,62.9,0.9,11.8,0.14
northeast,peas,emergence,135,-0.2,77.2,6.1,10.7,0.27
northeast,peas,emergence,126,-0.6,74.0,0.3,11.4,0.3
northeast,peas,emergence,137,-0.3,61.4,3.3,13.7,0.21
northeast,peas,emergence,115,-3.1,74.4,7.3,11.5,0.24
northeast,peas,emergence,117,-3.3,65.1,5.3,12.1,0.18
northeast,peas,emergence,124,-1.7,72.4,11.0,12.6,0.16
northeast,peas,emergence,112,-4.0,75.7,7.5,8.6,0.27
northeast,peas,tillering,132,-0.5,56.4,11.8,13.1,0.2
northeast,peas,tillering,133,0.4,67.5,7.7,14.1,0.14
northeast,peas,tillering,131,-1.6,59.4,2.9,11.1,0.37
northeast,peas,tillering,158,2.8,57.0,5.8,11.1,0.13
northeast,peas,tillering,139,-0.3,68.7,4.0,10.7,0.37
northeast,peas,tillering,160,5.3,53.1,2.4,14.4,0.28
northeast,peas,tillering,130,-0.9,75.5,5.1,11.8,0.25
northeast,peas,heading_flowering,234,17.0,73.3,6.2,16.1,0.66
northeast,peas,heading_flowering,191,7.4,74.5,13.1,12.9,0.36
northeast,peas,heading_flowering,240,20.3,54.2,2.8,15.3,0.53
northeast,peas,heading_flowering,224,11.0,70.0,6.0,19.3,0.7
northeast,peas,heading_flowering,209,11.8,53.4,11.2,15.5,0.63
northeast,peas,heading_flowering,195,8.6,75.1,8.5,16.6,0.18
northeast,peas,heading_flowering,237,13.6,81.6,9.3,12.7,0.56
northeast,peas,ripening_maturity,232,11.9,56.1,11.0,18.8,0.35
northeast,peas,ripening_maturity,259,21.9,57.9,10.5,20.8,0.29
northeast,peas,ripening_maturity,231,13.8,52.4,16.8,18.8,0.63
northeast,peas,ripening_maturity,267,24.4,58.2,14.0,16.4,0.56
northeast,peas,ripening_maturity,278,26.7,75.8,2.2,16.2,0.82
northeast,peas,ripening_maturity,229,17.7,56.1,15.0,19.0,0.31
northeast,peas,ripening_maturity,235,15.5,56.1,8.2,19.9,0.54
northeast,peas,ripening_maturity,252,21.3,81.6,9.7,21.3,1.0
northeast,chickpeas,sowing,90,-7.0,57.1,3.5,6.9,0.24
northeast,chickpeas,sowing,116,-2.3,64.5,6.1,9.4,0.33
northeast,chickpeas,sowing,113,-2.8,55.4,2.1,8.1,0.18
northeast,chickpeas,sowing,105,-4.5,72.1,3.3,6.5,0.18
northeast,chickpeas,sowing,110,-3.4,57.4,3.1,7.3,0.22
northeast,chickpeas,sowing,109,-3.8,48.3,7.4,6.5,0.22
northeast,chickpeas,sowing,96,-6.1,62.2,2.4,8.4,0.12
northeast,chickpeas,emergence,135,0.9,67.9,2.5,11.4,0.21
northeast,chickpeas,emergence,136,1.2,51.2,2.5,9.0,0.13
northeast,chickpeas,emergence,125,-2.2,64.3,8.8,8.6,0.12
northeast,chickpeas,emergence,123,-2.2,67.8,7.8,10.8,0.17
northeast,chickpeas,emergence,119,-2.4,52.6,1.5,7.7,0.3
northeast,chickpeas,emergence,126,-0.8,62.2,3.8,8.2,0.18
northeast,chickpeas,emergence,114,-3.6,72.7,2.4,7.5,0.25
northeast,chickpeas,emergence,129,-1.0,75.0,7.8,9.8,0.22
northeast,chickpeas,tillering,131,-1.4,73.4,9.6,7.6,0.23
northeast,chickpeas,tillering,139,1.1,76.0,7.4,9.5,0.12
northeast,chickpeas,tillering,151,2.6,75.9,0.5,10.7,0.31
northeast,chickpeas,tillering,157,3.5,60.7,13.3,8.9,0.14
northeast,chickpeas,tillering,162,4.2,57.2,5.3,9.2,0.31
northeast,chickpeas,tillering,143,1.5,52.9,2.8,8.7,0.25
northeast,chickpeas,tillering,146,1.8,51.3,5.2,8.3,0.12
northeast,chickpeas,heading_flowering,195,8.5,54.6,2.5,12.7,0.26
northeast,chickpeas,heading_flowering,223,17.5,52.1,11.0,12.2,0.64
northeast,chickpeas,heading_flowering,201,8.8,53.0,11.2,11.2,0.32
northeast,chickpeas,heading_flowering,211,10.6,74.4,15.2,12.5,0.37
northeast,chickpeas,heading_flowering,217,10.1,66.6,2.3,13.0,0.38
northeast,chickpeas,heading_flowering,194,7.3,58.5,8.2,12.2,0.12
northeast,chickpeas,heading_flowering,226,16.6,73.4,3.5,13.9,0.27
northeast,chickpeas,heading_flowering,203,8.9,79.6,1.4,10.7,0.23
northeast,chickpeas,ripening_maturity,257,23.0,70.4,3.5,15.9,0.91
northeast,chickpeas,ripening_maturity,267,19.6,66.9,7.7,17.9,0.48
northeast,chickpeas,ripening_maturity,253,19.1,75.8,14.1,15.8,0.45
northeast,chickpeas,ripening_maturity,261,15.6,56.7,10.7,16.6,0.35
northeast,chickpeas,ripening_maturity,246,13.7,65.2,10.1,15.7,0.52
northeast,chickpeas,ripening_maturity,266,25.3,80.7,9.3,14.3,0.62
northeast,chickpeas,ripening_maturity,237,18.9,67.8,17.4,13.8,0.54
northeast,chickpeas,ripening_maturity,248,21.6,73.4,12.3,16.0,0.9
northeast,sunflower,sowing,101,-5.2,53.2,4.0,9.1,0.14
northeast,sunflower,sowing,97,-5.8,60.6,0.9,8.1,0.19
northeast,sunflower,sowing,94,-6.5,61.3,1.1,7.6,0.25
northeast,sunflower,sowing,107,-3.9,55.5,9.5,10.1,0.17
northeast,sunflower,sowing,112,-3.3,57.3,0.5,9.9,0.1
northeast,sunflower,sowing,92,-6.7,56.6,4.6,7.4,0.17
northeast,sunflower,sowing,104,-4.6,56.6,5.8,9.2,0.15
northeast,sunflower,sowing,98,-5.8,51.3,6.0,7.1,0.12
northeast,sunflower,emergence,115,-2.9,61.6,6.3,9.2,0.12
northeast,sunflower,emergence,119,-2.2,56.0,8.0,10.8,0.15
northeast,sunflower,emergence,134,0.5,63.5,6.4,10.1,0.25
northeast,sunflower,emergence,117,-2.9,69.3,10.3,10.2,0.12
northeast,sunflower,emergence,129,-0.5,71.8,5.2,8.5,0.15
northeast,sunflower,emergence,120,-2.0,54.6,11.6,8.1,0.1
northeast,sunflower,emergence,136,0.4,75.0,12.0,10.4,0.19
northeast,sunflower,emergence,122,-2.3,53.0,10.0,10.5,0.21
northeast,sunflower,tillering,160,3.9,66.1,5.1,10.9,0.2
northeast,sunflower,tillering,149,3.6,66.6,2.8,13.0,0.24
northeast,sunflower,tillering,154,1.6,70.6,11.1,13.3,0.28
northeast,sunflower,tillering,134,-0.8,68.0,8.1,12.2,0.25
northeast,sunflower,tillering,161,4.4,71.0,4.1,12.5,0.12
northeast,sunflower,tillering,146,2.5,67.0,2.1,11.7,0.21
northeast,sunflower,tillering,156,2.8,61.7,11.6,12.8,0.28
northeast,sunflower,tillering,158,4.0,77.4,9.1,11.3,0.1
northeast,sunflower,heading_flowering,227,14.7,80.4,1.1,13.6,0.54
northeast,sunflower,heading_flowering,206,9.0,60.4,14.3,15.7,0.25
northeast,sunflower,heading_flowering,204,11.0,80.7,7.6,10.8,0.3
northeast,sunflower,heading_flowering,194,11.9,73.5,4.4,15.1,0.49
northeast,sunflower,heading_flowering,232,13.6,67.2,1.6,17.0,0.47
northeast,sunflower,heading_flowering,212,9.8,55.2,8.8,12.4,0.1
northeast,sunflower,heading_flowering,209,8.9,69.1,8.9,16.8,0.2
northeast,sunflower,heading_flowering,220,12.1,70.0,1.1,12.8,0.21
northeast,sunflower,ripening_maturity,242,20.3,58.7,11.2,17.4,0.22
northeast,sunflower,ripening_maturity,253,22.9,74.3,16.4,21.0,0.59
northeast,sunflower,ripening_maturity,237,18.9,63.4,4.9,21.8,0.49
northeast,sunflower,ripening_maturity,251,21.2,72.9,17.9,19.7,0.85
northeast,sunflower,ripening_maturity,256,20.3,69.9,14.1,20.0,0.68
northeast,sunflower,ripening_maturity,272,22.9,54.9,4.1,17.6,0.58
northeast,sunflower,ripening_maturity,267,24.1,59.2,5.6,14.9,0.48
northeast,sunflower,ripening_maturity,274,19.3,83.7,2.8,14.6,0.32
northeast,sugar_beet,sowing,120,-2.2,75.5,7.2,192.9,0.23
northeast,sugar_beet,sowing,98,-5.9,69.6,8.1,172.1,0.24
northeast,sugar_beet,sowing,99,-5.4,51.7,9.2,111.4,0.1
northeast,sugar_beet,sowing,118,-3.0,71.8,8.4,194.5,0.11
northeast,sugar_beet,sowing,96,-6.0,59.5,9.9,155.8,0.25
northeast,sugar_beet,sowing,110,-4.3,71.1,4.2,177.1,0.18
northeast,sugar_beet,sowing,119,-3.0,56.3,2.8,187.0,0.24
northeast,sugar_beet,sowing,100,-5.2,59.3,6.5,131.8,0.23
northeast,sugar_beet,emergence,115,-3.5,59.6,4.0,163.7,0.19
northeast,sugar_beet,emergence,129,-1.3,47.8,3.7,158.1,0.09
northeast,sugar_beet,emergence,113,-2.8,53.4,3.8,136.2,0.19
northeast,sugar_beet,emergence,114,-3.6,70.8,1.6,170.9,0.15
northeast,sugar_beet,emergence,135,0.3,47.5,1.2,188.4,0.1
northeast,sugar_beet,emergence,125,-0.9,48.6,4.6,185.6,0.18
northeast,sugar_beet,emergence,128,-0.1,69.2,1.3,199.8,0.16
northeast,sugar_beet,tillering,156,4.2,57.1,3.6,195.7,0.12
northeast,sugar_beet,tillering,132,-0.6,72.8,9.2,160.7,0.11
northeast,sugar_beet,tillering,157,4.5,75.6,6.2,207.5,0.25
northeast,sugar_beet,tillering,140,0.9,61.9,3.5,221.0,0.24
northeast,sugar_beet,tillering,141,0.5,73.8,9.8,163.6,0.09
northeast,sugar_beet,tillering,135,0.2,67.3,7.4,186.9,0.12
northeast,sugar_beet,tillering,153,1.7,60.5,6.6,201.8,0.23
northeast,sugar_beet,tillering,165,4.0,51.1,5.0,211.6,0.16
northeast,sugar_beet,ripening_maturity,255,15.9,73.7,9.9,296.2,0.29
northeast,sugar_beet,ripening_maturity,250,19.9,56.1,9.3,276.5,0.43
northeast,sugar_beet,ripening_maturity,257,21.0,79.6,1.9,335.7,0.57
northeast,sugar_beet,ripening_maturity,243,16.6,70.6,9.6,253.4,0.2
northeast,sugar_beet,ripening_maturity,224,12.7,69.2,7.7,256.2,0.44
northeast,sugar_beet,ripening_maturity,242,15.4,55.2,16.8,262.5,0.45
northeast,sugar_beet,ripening_maturity,252,19.8,79.7,1.1,323.2,0.56
northeast,soybeans,sowing,105,-4.5,53.4,6.1,7.6,0.24
northeast,soybeans,sowing,106,-4.3,46.4,5.8,7.0,0.19
northeast,soybeans,sowing,99,-5.6,61.8,1.0,8.7,0.15
northeast,soybeans,sowing,104,-4.9,54.3,5.3,8.1,0.18
northeast,soybeans,sowing,118,-2.1,55.3,6.7,9.2,0.18
northeast,soybeans,sowing,98,-5.8,71.0,8.4,6.8,0.16
northeast,soybeans,sowing,117,-2.2,49.4,2.9,8.5,0.28
northeast,soybeans,sowing,100,-5.7,50.1,7.5,6.1,0.2
northeast,soybeans,emergence,125,-1.0,49.1,9.9,7.9,0.23
northeast,soybeans,emergence,135,0.8,47.9,6.9,9.8,0.2
northeast,soybeans,emergence,134,-0.8,74.0,5.6,7.6,0.27
northeast,soybeans,emergence,118,-2.5,72.3,5.6,10.2,0.25
northeast,soybeans,emergence,137,1.0,77.5,9.1,7.7,0.21
northeast,soybeans,emergence,132,-1.3,47.3,5.7,9.0,0.23
northeast,soybeans,emergence,140,0.8,49.5,7.7,9.1,0.12
northeast,soybeans,tillering,163,5.7,76.0,13.5,9.6,0.29
northeast,soybeans,tillering,155,2.5,63.8,10.9,8.9,0.23
northeast,soybeans,tillering,169,4.0,49.6,4.6,10.1,0.13
northeast,soybeans,tillering,130,-0.7,62.2,4.0,10.4,0.29
northeast,soybeans,tillering,170,7.5,75.1,8.1,11.1,0.17
northeast,soybeans,tillering,149,2.0,57.6,6.3,9.1,0.31
northeast,soybeans,tillering,146,1.9,49.7,1.7,8.1,0.2
northeast,soybeans,tillering,160,5.2,77.4,11.3,10.7,0.14
northeast,soybeans,heading_flowering,195,7.1,50.9,12.4,10.8,0.13
northeast,soybeans,heading_flowering,223,17.3,81.0,3.9,15.4,0.29
northeast,soybeans,heading_flowering,231,12.5,81.3,5.3,13.9,0.37
northeast,soybeans,heading_flowering,233,18.7,79.6,3.0,13.6,0.71
northeast,soybeans,heading_flowering,232,18.9,79.9,3.2,12.2,0.37
northeast,soybeans,heading_flowering,198,9.1,75.8,5.1,11.9,0.19
northeast,soybeans,heading_flowering,193,7.8,78.4,14.0,12.4,0.11
northeast,soybeans,ripening_maturity,248,19.0,61.6,16.7,17.2,0.24
northeast,soybeans,ripening_maturity,241,19.8,77.4,4.4,13.3,0.77
northeast,soybeans,ripening_maturity,244,14.7,70.4,17.4,14.6,0.24
northeast,soybeans,ripening_maturity,240,15.4,62.8,5.3,15.1,0.29
northeast,soybeans,ripening_maturity,273,24.5,62.6,15.1,14.7,0.35
northeast,soybeans,ripening_maturity,254,19.0,67.4,16.8,19.4,0.56
northeast,soybeans,ripening_maturity,253,18.6,56.9,2.4,17.3,0.43
northeast,flax,sowing,114,-3.6,52.3,0.7,5.4,0.13
northeast,flax,sowing,120,-2.5,54.8,9.3,5.2,0.23
northeast,flax,sowing,97,-5.8,61.3,1.3,5.8,0.23
northeast,flax,sowing,116,-3.3,63.3,7.1,4.8,0.15
northeast,flax,sowing,101,-5.4,67.2,9.2,5.6,0.17
northeast,flax,sowing,115,-3.5,74.7,5.5,4.9,0.21
northeast,flax,sowing,99,-5.5,54.6,6.3,4.9,0.08
northeast,flax,emergence,124,-1.5,69.7,1.9,5.4,0.23
northeast,flax,emergence,125,-0.9,54.1,10.8,4.9,0.16
northeast,flax,emergence,129,-1.1,63.3,8.3,6.9,0.24
northeast,flax,emergence,128,-1.4,76.1,11.2,6.5,0.15
northeast,flax,emergence,132,0.4,58.1,8.2,6.3,0.12
northeast,flax,emergence,123,-1.7,66.0,10.0,5.7,0.11
northeast,flax,emergence,139,1.6,70.7,0.8,5.9,0.17
northeast,flax,emergence,117,-2.9,56.2,5.6,6.3,0.09
northeast,flax,tillering,137,-0.4,48.4,11.8,5.0,0.12
northeast,flax,tillering,167,3.8,75.9,5.9,6.7,0.2
northeast,flax,tillering,168,5.8,50.3,2.9,7.8,0.21
northeast,flax,tillering,158,3.2,73.7,1.6,7.3,0.12
northeast,flax,tillering,138,1.6,49.7,11.2,5.4,0.2
northeast,flax,tillering,147,3.4,71.8,8.0,7.0,0.09
northeast,flax,tillering,133,-0.5,51.8,8.3,5.2,0.18
northeast,flax,heading_flowering,230,14.8,78.3,16.0,10.7,0.22
northeast,flax,heading_flowering,209,10.3,69.0,8.4,7.1,0.47
northeast,flax,heading_flowering,214,13.8,75.1,13.2,7.7,0.31
northeast,flax,heading_flowering,194,9.6,78.4,7.6,7.8,0.1
northeast,flax,heading_flowering,222,13.5,68.6,7.0,9.4,0.17
northeast,flax,heading_flowering,236,17.4,76.0,2.6,10.1,0.18
northeast,flax,heading_flowering,223,12.2,79.7,9.0,6.6,0.17
northeast,flax,heading_flowering,203,8.3,66.1,3.2,8.9,0.19
northeast,flax,ripening_maturity,268,21.8,54.6,5.2,10.3,0.32
northeast,flax,ripening_maturity,221,14.7,52.4,11.2,9.4,0.27
northeast,flax,ripening_maturity,260,24.3,68.4,14.4,10.8,0.27
northeast,flax,ripening_maturity,229,15.6,77.4,1.0,8.2,0.46
northeast,flax,ripening_maturity,259,18.1,83.8,18.8,7.9,0.4
northeast,flax,ripening_maturity,226,11.1,59.5,15.2,8.6,0.4
northeast,flax,ripening_maturity,274,18.2,75.3,3.4,11.1,0.4
northeast,flax,ripening_maturity,266,16.8,75.0,11.1,11.3,0.21
northeast,mustard,sowing,101,-5.1,63.1,1.1,5.0,0.08
northeast,mustard,sowing,96,-6.0,45.5,9.5,3.1,0.21
northeast,mustard,sowing,98,-5.9,73.8,1.6,4.5,0.11
northeast,mustard,sowing,114,-2.9,68.9,2.7,4.7,0.16
northeast,mustard,sowing,109,-3.8,53.2,3.3,4.8,0.15
northeast,mustard,sowing,108,-4.1,59.8,3.6,4.7,0.17
northeast,mustard,sowing,115,-2.6,61.3,5.1,5.1,0.16
northeast,mustard,emergence,136,0.2,55.3,3.2,5.1,0.19
northeast,mustard,emergence,127,-1.7,62.0,3.0,4.9,0.18
northeast,mustard,emergence,138,0.5,61.9,6.1,4.8,0.09
northeast,mustard,emergence,115,-2.9,63.1,5.7,4.9,0.09
northeast,mustard,emergence,116,-2.4,54.3,2.8,4.5,0.11
northeast,mustard,emergence,128,-1.3,51.1,6.4,3.9,0.2
northeast,mustard,emergence,139,0.7,60.7,9.6,5.3,0.2
northeast,mustard,tillering,163,3.3,56.9,7.2,4.9,0.16
northeast,mustard,tillering,140,-0.1,50.7,0.4,4.9,0.21
northeast,mustard,tillering,142,0.2,56.8,11.4,6.2,0.19
northeast,mustard,tillering,139,0.9,57.7,6.1,5.6,0.19
northeast,mustard,tillering,154,2.9,73.0,12.1,4.8,0.14
northeast,mustard,tillering,156,4.6,50.2,6.6,5.6,0.09
northeast,mustard,tillering,133,0.6,74.7,3.5,6.0,0.11
northeast,mustard,heading_flowering,206,8.6,52.4,11.7,6.3,0.11
northeast,mustard,heading_flowering,195,11.3,62.8,5.3,8.4,0.16
northeast,mustard,heading_flowering,216,12.1,66.2,6.1,7.4,0.41
northeast,mustard,heading_flowering,223,11.5,52.9,1.5,7.4,0.26
northeast,mustard,heading_flowering,202,12.2,69.1,9.2,6.3,0.18
northeast,mustard,heading_flowering,222,14.0,76.7,14.6,8.7,0.41
northeast,mustard,heading_flowering,190,8.0,79.1,8.5,5.1,0.16
northeast,mustard,heading_flowering,231,18.8,57.2,8.6,8.2,0.32
northeast,mustard,ripening_maturity,275,23.5,63.5,7.6,10.2,0.16
northeast,mustard,ripening_maturity,269,24.4,63.3,15.4,7.6,0.41
northeast,mustard,ripening_maturity,234,17.8,60.5,0.4,9.3,0.41
northeast,mustard,ripening_maturity,235,17.1,65.9,16.7,8.0,0.29
northeast,mustard,ripening_maturity,250,15.6,70.6,4.2,9.4,0.4
northeast,mustard,ripening_maturity,272,17.7,84.4,15.4,8.6,0.19
northeast,mustard,ripening_maturity,244,17.6,81.4,7.4,8.2,0.28
northeast,potatoes,sowing,102,-5.3,49.3,6.7,102.4,0.35
northeast,potatoes,sowing,116,-3.1,47.6,5.8,104.7,0.18
northeast,potatoes,sowing,93,-6.5,50.4,7.4,99.4,0.2
northeast,potatoes,sowing,117,-2.8,62.6,9.7,122.0,0.24
northeast,potatoes,sowing,97,-6.0,63.5,1.5,90.1,0.28
northeast,potatoes,sowing,109,-4.2,66.5,7.6,117.3,0.35
northeast,potatoes,sowing,118,-2.5,67.1,3.9,104.6,0.41
northeast,potatoes,emergence,110,-4.0,67.7,1.2,102.0,0.3
northeast,potatoes,emergence,123,-2.2,48.6,2.2,124.9,0.33
northeast,potatoes,emergence,126,-1.7,65.7,2.0,129.0,0.28
northeast,potatoes,emergence,135,-0.1,58.0,6.5,119.6,0.33
northeast,potatoes,emergence,120,-2.6,52.0,1.3,120.0,0.19
northeast,potatoes,emergence,114,-3.6,65.9,1.9,123.5,0.28
northeast,potatoes,emergence,121,-2.4,66.5,7.8,115.3,0.26
northeast,potatoes,tillering,165,3.4,68.1,1.3,129.9,0.31
northeast,potatoes,tillering,151,3.5,73.5,10.1,125.0,0.37
northeast,potatoes,tillering,160,4.2,61.8,3.9,162.3,0.38
northeast,potatoes,tillering,132,-0.6,54.0,3.4,120.9,0.24
northeast,potatoes,tillering,143,2.5,64.5,11.1,172.0,0.37
northeast,potatoes,tillering,168,4.6,73.6,0.8,171.1,0.28
northeast,potatoes,tillering,162,4.4,68.8,0.5,179.0,0.26
northeast,potatoes,heading_flowering,239,13.0,74.6,1.7,201.4,0.41
northeast,potatoes,heading_flowering,223,13.4,80.8,10.3,195.7,0.34
northeast,potatoes,heading_flowering,211,13.3,56.5,4.7,167.2,0.61
northeast,potatoes,heading_flowering,222,12.3,75.7,4.0,193.0,0.41
northeast,potatoes,heading_flowering,215,13.5,76.2,4.9,165.0,0.71
northeast,potatoes,heading_flowering,192,8.2,72.0,10.2,199.2,0.39
northeast,potatoes,ripening_maturity,240,13.7,59.6,9.1,224.1,0.66
northeast,potatoes,ripening_maturity,258,16.8,78.6,15.7,177.5,0.76
northeast,potatoes,ripening_maturity,238,17.1,82.5,3.2,152.3,0.7
northeast,potatoes,ripening_maturity,257,23.3,71.9,2.2,233.3,0.83
northeast,potatoes,ripening_maturity,227,14.9,59.9,11.7,207.0,0.4
northeast,potatoes,ripening_maturity,245,20.1,54.0,11.6,201.2,0.44
northeast,potatoes,ripening_maturity,280,26.9,82.6,1.4,209.6,0.59
northeast,tomatoes,sowing,108,-3.7,64.6,7.8,178.0,0.27
northeast,tomatoes,sowing,93,-6.5,66.6,9.3,183.2,0.35
northeast,tomatoes,sowing,110,-3.6,66.3,7.9,191.8,0.26
northeast,tomatoes,sowing,105,-4.4,61.4,1.1,159.6,0.4
northeast,tomatoes,sowing,116,-2.4,76.3,10.1,204.2,0.26
northeast,tomatoes,sowing,115,-2.4,54.7,7.7,159.9,0.32
northeast,tomatoes,sowing,90,-7.0,70.2,8.5,176.6,0.41
northeast,tomatoes,sowing,98,-5.9,54.8,2.1,184.3,0.27
northeast,tomatoes,emergence,136,-0.9,66.6,0.9,249.7,0.44
northeast,tomatoes,emergence,127,-1.4,51.3,5.0,155.2,0.32
northeast,tomatoes,emergence,122,-1.8,56.5,11.5,204.6,0.16
northeast,tomatoes,emergence,139,-0.3,51.4,7.1,221.6,0.44
northeast,tomatoes,emergence,118,-2.7,54.4,2.1,194.6,0.3
northeast,tomatoes,emergence,113,-3.4,66.8,8.8,156.2,0.42
northeast,tomatoes,emergence,120,-1.8,69.2,8.8,218.2,0.35
northeast,tomatoes,tillering,170,6.2,50.4,8.9,259.6,0.3
northeast,tomatoes,tillering,138,1.0,48.5,9.2,219.7,0.27
northeast,tomatoes,tillering,142,1.9,64.6,11.3,240.9,0.31
northeast,tomatoes,tillering,132,-0.3,65.7,6.0,184.3,0.38
northeast,tomatoes,tillering,140,0.0,66.3,9.2,227.2,0.37
northeast,tomatoes,tillering,160,3.2,66.5,12.8,263.4,0.27
northeast,tomatoes,tillering,155,4.6,56.4,9.6,200.2,0.16
northeast,tomatoes,heading_flowering,212,11.3,52.9,0.8,282.3,0.76
northeast,tomatoes,heading_flowering,208,8.6,54.0,5.5,254.0,0.23
northeast,tomatoes,heading_flowering,199,7.8,79.4,3.7,286.6,0.28
northeast,tomatoes,heading_flowering,202,8.1,63.1,3.1,239.1,0.32
northeast,tomatoes,heading_flowering,191,7.0,53.2,6.7,289.8,0.31
northeast,tomatoes,heading_flowering,197,8.1,79.4,6.2,231.5,0.41
northeast,tomatoes,heading_flowering,210,12.1,73.1,9.6,255.0,0.7
northeast,tomatoes,heading_flowering,215,14.7,81.3,6.4,279.6,0.33
northeast,tomatoes,ripening_maturity,280,21.0,74.9,3.4,379.8,0.57
northeast,tomatoes,ripening_maturity,247,17.9,70.2,12.3,412.3,0.66
northeast,tomatoes,ripening_maturity,237,13.9,71.2,1.8,300.8,0.73
northeast,tomatoes,ripening_maturity,276,27.1,70.6,15.7,385.3,1.0
northeast,tomatoes,ripening_maturity,242,17.0,74.3,4.7,303.6,0.5
northeast,tomatoes,ripening_maturity,274,24.5,73.6,14.8,338.6,1.0
northeast,tomatoes,ripening_maturity,225,11.0,78.5,0.5,317.9,0.59
northeast,tomatoes,ripening_maturity,238,19.1,67.8,12.2,350.4,0.69
northeast,onions,sowing,90,-7.0,64.6,7.4,100.4,0.27
northeast,onions,sowing,112,-3.3,51.8,3.2,144.1,0.18
